track,date,race,program,horse,win,ml_dec,live_dec,minutes_to_post,field_size,surface,prev_surface,distance_yards,rail,speed,ep,lp,class,trainer_win,jockey_win,combo_win,weight,last_days,equip_blinker,equip_lasix
Belmont at the Big A,2024-09-28,1,1,Sounds Like a Plan,0,,,-999.0,9,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,1,2,Aviator Gui,0,,,-999.0,9,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,1,3,Battle Drum (FR),0,,,-999.0,9,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,1,4,Hands of Time,0,,,-999.0,9,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,1,5,Thunder Roll,0,,,-999.0,9,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,1,6,Midnight Boss,0,,,-999.0,9,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,1,7,Bolt to Run,0,,,-999.0,9,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,1,8,Dragoneer,0,,,-999.0,9,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,1,9,Cyclone State,0,,,-999.0,9,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,2,1,Wrap and Send,0,,,-999.0,12,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,2,1A,Valid Connection,0,,,-999.0,12,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,2,2,Western Wolf,0,,,-999.0,12,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,2,3,Tino in Toga,0,,,-999.0,12,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,2,4,Shoot the Nickel,0,,,-999.0,12,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,2,5,Ennis Town,0,,,-999.0,12,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,2,6,Damage,0,,,-999.0,12,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,2,7,America's Honor,0,,,-999.0,12,,,,0,,,,,,,,119.0,,1,0
Belmont at the Big A,2024-09-28,2,8,Chris's Revenge,0,,,-999.0,12,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,2,9,Man of Mischief,0,,,-999.0,12,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,2,10,Ready Set Twirl,0,,,-999.0,12,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,2,11,Monomoys Partner,0,,,-999.0,12,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,3,1,Belle of the Ball,0,,,-999.0,10,,,,0,,,,,,,,123.0,,0,0
Belmont at the Big A,2024-09-28,3,1A,Street Jam,0,,,-999.0,10,,,,0,,,,,,,,121.0,,0,0
Belmont at the Big A,2024-09-28,3,2,Balenciaga Betty,0,,,-999.0,10,,,,0,,,,,,,,123.0,,0,0
Belmont at the Big A,2024-09-28,3,3,Roman Goddess,0,,,-999.0,10,,,,0,,,,,,,,121.0,,0,0
Belmont at the Big A,2024-09-28,3,4,Karen's Honor,0,,,-999.0,10,,,,0,,,,,,,,123.0,,0,0
Belmont at the Big A,2024-09-28,3,5,Progeny,0,,,-999.0,10,,,,0,,,,,,,,120.0,,0,0
Belmont at the Big A,2024-09-28,3,6,Book of Wisdom,0,,,-999.0,10,,,,0,,,,,,,,113.0,,0,0
Belmont at the Big A,2024-09-28,3,7,Dolce Sera,0,,,-999.0,10,,,,0,,,,,,,,123.0,,0,0
Belmont at the Big A,2024-09-28,3,8,Mim,0,,,-999.0,10,,,,0,,,,,,,,116.0,,0,0
Belmont at the Big A,2024-09-28,3,9,Backstretch Rose,0,,,-999.0,10,,,,0,,,,,,,,120.0,,0,0
Belmont at the Big A,2024-09-28,4,1,Skippylongstocking,0,,,-999.0,5,,,,0,,,,,,,,124.0,,0,0
Belmont at the Big A,2024-09-28,4,2,Crupi,0,,,-999.0,5,,,,0,,,,,,,,124.0,,0,0
Belmont at the Big A,2024-09-28,4,3,Tapit Trice,0,,,-999.0,5,,,,0,,,,,,,,124.0,,0,0
Belmont at the Big A,2024-09-28,4,4,Masqueparade,0,,,-999.0,5,,,,0,,,,,,,,122.0,,0,0
Belmont at the Big A,2024-09-28,4,5,Kay Army (CHI),0,,,-999.0,5,,,,0,,,,,,,,126.0,,0,0
Belmont at the Big A,2024-09-28,5,1,Wild Banker,0,,,-999.0,8,,,,0,,,,,,,,122.0,,0,0
Belmont at the Big A,2024-09-28,5,2,Mighty Atlas,0,,,-999.0,8,,,,0,,,,,,,,124.0,,0,0
Belmont at the Big A,2024-09-28,5,3,Two's a Crowd,0,,,-999.0,8,,,,0,,,,,,,,120.0,,0,0
Belmont at the Big A,2024-09-28,5,4,Neural Network,0,,,-999.0,8,,,,0,,,,,,,,122.0,,0,0
Belmont at the Big A,2024-09-28,5,5,Bourbon Chase,0,,,-999.0,8,,,,0,,,,,,,,122.0,,1,0
Belmont at the Big A,2024-09-28,5,6,Engineer Empire,0,,,-999.0,8,,,,0,,,,,,,,122.0,,0,0
Belmont at the Big A,2024-09-28,5,7,Shadow Dragon,0,,,-999.0,8,,,,0,,,,,,,,122.0,,0,0
Belmont at the Big A,2024-09-28,5,8,Leftembehind,0,,,-999.0,8,,,,0,,,,,,,,124.0,,0,0
Belmont at the Big A,2024-09-28,6,1,Get Smokin,0,,,-999.0,7,,,,0,,,,,,,,126.0,,0,0
Belmont at the Big A,2024-09-28,6,2,Daunt,0,,,-999.0,7,,,,0,,,,,,,,126.0,,0,0
Belmont at the Big A,2024-09-28,6,3,Emmanuel,0,,,-999.0,7,,,,0,,,,,,,,126.0,,1,0
Belmont at the Big A,2024-09-28,6,4,War Like Goddess,0,,,-999.0,7,,,,0,,,,,,,,123.0,,0,0
Belmont at the Big A,2024-09-28,6,5,Truly Quality,0,,,-999.0,7,,,,0,,,,,,,,126.0,,0,0
Belmont at the Big A,2024-09-28,6,6,Silver Knott (GB),0,,,-999.0,7,,,,0,,,,,,,,126.0,,0,0
Belmont at the Big A,2024-09-28,6,7,Far Bridge,0,,,-999.0,7,,,,0,,,,,,,,126.0,,0,0
Belmont at the Big A,2024-09-28,7,1,Gaga's Hamsome,0,,,-999.0,11,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,7,2,Nilo's Rose,0,,,-999.0,11,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,7,3,Mi Bella Genio,0,,,-999.0,11,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,7,4,Carol Said No,0,,,-999.0,11,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,7,5,Teca,0,,,-999.0,11,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,7,6,Melle Mel,0,,,-999.0,11,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,7,7,Frankie Hiccups,0,,,-999.0,11,,,,0,,,,,,,,119.0,,1,0
Belmont at the Big A,2024-09-28,7,8,Ravenite,0,,,-999.0,11,,,,0,,,,,,,,119.0,,1,0
Belmont at the Big A,2024-09-28,7,9,Linda's Jewel,0,,,-999.0,11,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,7,10,Shadyside,0,,,-999.0,11,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,7,11,Dancing Dakotah,0,,,-999.0,11,,,,0,,,,,,,,112.0,,0,0
Belmont at the Big A,2024-09-28,8,1,Miss C Banker,0,,,-999.0,16,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,8,2,Blakely's Wish,0,,,-999.0,16,,,,0,,,,,,,,112.0,,0,0
Belmont at the Big A,2024-09-28,8,3,Silsbee,0,,,-999.0,16,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,8,4,Run Don't Walk,0,,,-999.0,16,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,8,5,Graceful Warrior,0,,,-999.0,16,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,8,6,Alpine Giant,0,,,-999.0,16,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,8,7,Pawtucketshuffle,0,,,-999.0,16,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,8,8,Shock,0,,,-999.0,16,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,8,9,Fire Agate,0,,,-999.0,16,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,8,10,Higher Force,0,,,-999.0,16,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,8,11,Vehemente,0,,,-999.0,16,,,,0,,,,,,,,119.0,,1,0
Belmont at the Big A,2024-09-28,8,12,I Heard Somethings,0,,,-999.0,16,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,8,13,Disco Star,0,,,-999.0,16,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,8,14,Lakeside,0,,,-999.0,16,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,8,15,Nina Kay,0,,,-999.0,16,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,8,16,Dua Ibit,0,,,-999.0,16,,,,0,,,,,,,,119.0,,0,0
Belmont at the Big A,2024-09-28,9,1,Seven's Eleven,0,,,-999.0,7,,,,0,,,,,,,,120.0,,0,0
Belmont at the Big A,2024-09-28,9,2,Scotland,0,,,-999.0,7,,,,0,,,,,,,,120.0,,0,0
Belmont at the Big A,2024-09-28,9,3,Baby Yoda,0,,,-999.0,7,,,,0,,,,,,,,124.0,,0,0
Belmont at the Big A,2024-09-28,9,4,Dean Delivers,0,,,-999.0,7,,,,0,,,,,,,,120.0,,0,0
Belmont at the Big A,2024-09-28,9,5,Comedy Town,0,,,-999.0,7,,,,0,,,,,,,,120.0,,0,0
Belmont at the Big A,2024-09-28,9,6,Mufasa (CHI),0,,,-999.0,7,,,,0,,,,,,,,120.0,,0,0
Belmont at the Big A,2024-09-28,9,7,Lord Miles,0,,,-999.0,7,,,,0,,,,,,,,120.0,,0,0
Belmont at the Big A,2024-09-28,10,1,Create Trouble,0,,,-999.0,16,,,,0,,,,,,,,126.0,,0,0
Belmont at the Big A,2024-09-28,10,2,Assume Nothing,0,,,-999.0,16,,,,0,,,,,,,,124.0,,0,0
Belmont at the Big A,2024-09-28,10,3,Beuys (IRE),0,,,-999.0,16,,,,0,,,,,,,,122.0,,0,0
Belmont at the Big A,2024-09-28,10,4,Drakon,0,,,-999.0,16,,,,0,,,,,,,,122.0,,0,0
Belmont at the Big A,2024-09-28,10,5,Tidal Forces,0,,,-999.0,16,,,,0,,,,,,,,122.0,,0,0
Belmont at the Big A,2024-09-28,10,6,Freedom Trail,0,,,-999.0,16,,,,0,,,,,,,,122.0,,0,0
Belmont at the Big A,2024-09-28,10,7,Lincoln Hawk (IRE),0,,,-999.0,16,,,,0,,,,,,,,122.0,,0,0
Belmont at the Big A,2024-09-28,10,8,Ruse,0,,,-999.0,16,,,,0,,,,,,,,124.0,,0,0
Belmont at the Big A,2024-09-28,10,9,Irish Prophet,0,,,-999.0,16,,,,0,,,,,,,,124.0,,0,0
Belmont at the Big A,2024-09-28,10,10,Magical Ways,0,,,-999.0,16,,,,0,,,,,,,,124.0,,0,0
Belmont at the Big A,2024-09-28,10,11,Wonderful Justice (GB),0,,,-999.0,16,,,,0,,,,,,,,122.0,,0,0
Belmont at the Big A,2024-09-28,10,12,Irwin (IRE),0,,,-999.0,16,,,,0,,,,,,,,124.0,,0,0
Belmont at the Big A,2024-09-28,10,13,Wine Collector,0,,,-999.0,16,,,,0,,,,,,,,118.0,,0,0
Belmont at the Big A,2024-09-28,10,14,Classic Legacy,0,,,-999.0,16,,,,0,,,,,,,,124.0,,0,0
Belmont at the Big A,2024-09-28,10,15,Floki's Flight,0,,,-999.0,16,,,,0,,,,,,,,122.0,,0,0
Belmont at the Big A,2024-09-28,10,16,O P Firecracker,0,,,-999.0,16,,,,0,,,,,,,,122.0,,0,0
Belmont at the Big A,2024-09-28,11,1,Noble Confessor,0,,,-999.0,8,,,,0,,,,,,,,118.0,,0,0
Belmont at the Big A,2024-09-28,11,2,Flying Mohawk,0,,,-999.0,8,,,,0,,,,,,,,118.0,,0,0
Belmont at the Big A,2024-09-28,11,3,Without Caution,0,,,-999.0,8,,,,0,,,,,,,,120.0,,0,0
Belmont at the Big A,2024-09-28,11,4,Zulu Kingdom (IRE),0,,,-999.0,8,,,,0,,,,,,,,122.0,,0,0
Belmont at the Big A,2024-09-28,11,5,Concord Green,0,,,-999.0,8,,,,0,,,,,,,,120.0,,0,0
Belmont at the Big A,2024-09-28,11,6,Smooth Breeze,0,,,-999.0,8,,,,0,,,,,,,,120.0,,0,0
Belmont at the Big A,2024-09-28,11,7,Fully Authorized,0,,,-999.0,8,,,,0,,,,,,,,120.0,,0,0
Belmont at the Big A,2024-09-28,11,8,Early Adopter (GB),0,,,-999.0,8,,,,0,,,,,,,,120.0,,0,0
Belmont at the Big A,2024-09-28,12,1,Prairie Dunes,0,,,-999.0,12,,,,0,,,,,,,,124.0,,0,0
Belmont at the Big A,2024-09-28,12,2,Mighty Glory,0,,,-999.0,12,,,,0,,,,,,,,120.0,,0,0
Belmont at the Big A,2024-09-28,12,3,Taparino,0,,,-999.0,12,,,,0,,,,,,,,120.0,,0,0
Belmont at the Big A,2024-09-28,12,4,Counter Attack,0,,,-999.0,12,,,,0,,,,,,,,120.0,,0,0
Belmont at the Big A,2024-09-28,12,5,That'sthefactjack,0,,,-999.0,12,,,,0,,,,,,,,117.0,,0,0
Belmont at the Big A,2024-09-28,12,6,Magical Road,0,,,-999.0,12,,,,0,,,,,,,,120.0,,0,0
Belmont at the Big A,2024-09-28,12,7,Yingle Bells,0,,,-999.0,12,,,,0,,,,,,,,117.0,,1,0
Belmont at the Big A,2024-09-28,12,8,Hours in a Day,0,,,-999.0,12,,,,0,,,,,,,,120.0,,0,0
Belmont at the Big A,2024-09-28,12,9,Ramesses,0,,,-999.0,12,,,,0,,,,,,,,120.0,,0,0
Belmont at the Big A,2024-09-28,12,10,Lcgolucky,0,,,-999.0,12,,,,0,,,,,,,,120.0,,0,0
Belmont at the Big A,2024-09-28,12,11,Beach Blanket,0,,,-999.0,12,,,,0,,,,,,,,120.0,,0,0
Belmont at the Big A,2024-09-28,12,12,Guile,0,,,-999.0,12,,,,0,,,,,,,,120.0,,0,0
Churchill Downs,2024-09-28,1,1,Rocketeightyeight,0,,,-999.0,10,,,,0,,,,,,,,121.0,,0,0
Churchill Downs,2024-09-28,1,2,Getoutyourwallet,0,,,-999.0,10,,,,0,,,,,,,,121.0,,0,0
Churchill Downs,2024-09-28,1,3,Uncle Tuffy,0,,,-999.0,10,,,,0,,,,,,,,121.0,,0,0
