track,date,race,program,horse,win,ml_dec,live_dec,minutes_to_post,field_size,surface,prev_surface,distance_yards,rail,speed,ep,lp,class,trainer_win,jockey_win,combo_win,weight,last_days,equip_blinker,equip_lasix
Canterbury Park,2025-07-27,1,1,Empress Lorrayne,0,,,-999.0,6,,,,0,,,,,,,,119.0,,0,0
Canterbury Park,2025-07-27,1,2,Pepper N Mint,0,,,-999.0,6,,,,0,,,,,,,,119.0,,0,0
Canterbury Park,2025-07-27,1,3,Competitive Nature,0,,,-999.0,6,,,,0,,,,,,,,119.0,,0,0
Canterbury Park,2025-07-27,1,4,Haute Charlotte,0,,,-999.0,6,,,,0,,,,,,,,124.0,,0,0
Canterbury Park,2025-07-27,1,5,Miss Stilettos,0,,,-999.0,6,,,,0,,,,,,,,119.0,,0,0
Canterbury Park,2025-07-27,1,6,Kind Kismet,0,,,-999.0,6,,,,0,,,,,,,,124.0,,0,0
Canterbury Park,2025-07-27,2,1,Words of Wisdom,0,,,-999.0,6,,,,0,,,,,,,,124.0,,0,0
Canterbury Park,2025-07-27,2,2,Syntactic,0,,,-999.0,6,,,,0,,,,,,,,124.0,,0,0
Canterbury Park,2025-07-27,2,3,Mister Muldoon,0,,,-999.0,6,,,,0,,,,,,,,124.0,,0,0
Canterbury Park,2025-07-27,2,4,Supreme Dominance,0,,,-999.0,6,,,,0,,,,,,,,122.0,,0,0
Canterbury Park,2025-07-27,2,5,Robo,0,,,-999.0,6,,,,0,,,,,,,,122.0,,0,0
Canterbury Park,2025-07-27,2,6,Chromed Impulse,0,,,-999.0,6,,,,0,,,,,,,,124.0,,0,0
Canterbury Park,2025-07-27,3,1,Heavenlyconveyance,0,,,-999.0,7,,,,0,,,,,,,,124.0,,0,0
Canterbury Park,2025-07-27,3,2,Superstar Swank,0,,,-999.0,7,,,,0,,,,,,,,124.0,,0,0
Canterbury Park,2025-07-27,3,3,Rynotograce,0,,,-999.0,7,,,,0,,,,,,,,124.0,,0,0
Canterbury Park,2025-07-27,3,4,Got Ghosted,0,,,-999.0,7,,,,0,,,,,,,,124.0,,0,0
Canterbury Park,2025-07-27,3,5,First Takela,0,,,-999.0,7,,,,0,,,,,,,,124.0,,0,0
Canterbury Park,2025-07-27,3,6,B L's Concerto,0,,,-999.0,7,,,,0,,,,,,,,124.0,,0,0
Canterbury Park,2025-07-27,3,7,Sam Sez,0,,,-999.0,7,,,,0,,,,,,,,124.0,,0,0
Canterbury Park,2025-07-27,4,1,Ramblingamblinman,0,,,-999.0,6,,,,0,,,,,,,,124.0,,0,0
Canterbury Park,2025-07-27,4,2,Da Ghost,0,,,-999.0,6,,,,0,,,,,,,,124.0,,0,0
Canterbury Park,2025-07-27,4,3,Beggin for Trouble,0,,,-999.0,6,,,,0,,,,,,,,119.0,,0,0
Canterbury Park,2025-07-27,4,4,Whatsyourobjective,0,,,-999.0,6,,,,0,,,,,,,,124.0,,0,0
Canterbury Park,2025-07-27,4,5,Flying Martini,0,,,-999.0,6,,,,0,,,,,,,,119.0,,0,0
Canterbury Park,2025-07-27,4,6,Gabriel's Legend,0,,,-999.0,6,,,,0,,,,,,,,124.0,,0,0
Canterbury Park,2025-07-27,5,1,Perfect Gamble,0,,,-999.0,8,,,,0,,,,,,,,118.0,,0,0
Canterbury Park,2025-07-27,5,2,Charlie Mac Mac,0,,,-999.0,8,,,,0,,,,,,,,118.0,,0,0
Canterbury Park,2025-07-27,5,3,Lyman,0,,,-999.0,8,,,,0,,,,,,,,118.0,,0,0
Canterbury Park,2025-07-27,5,4,Igniting Embers,0,,,-999.0,8,,,,0,,,,,,,,118.0,,0,0
Canterbury Park,2025-07-27,5,5,Phantom Express,0,,,-999.0,8,,,,0,,,,,,,,118.0,,0,0
Canterbury Park,2025-07-27,5,6,Run Your Mouth,0,,,-999.0,8,,,,0,,,,,,,,115.0,,0,0
Canterbury Park,2025-07-27,5,7,How Bout That Curt,0,,,-999.0,8,,,,0,,,,,,,,118.0,,0,0
Canterbury Park,2025-07-27,5,8,Knick's Honor,0,,,-999.0,8,,,,0,,,,,,,,118.0,,0,0
Canterbury Park,2025-07-27,6,1,Red Regret,0,,,-999.0,7,,,,0,,,,,,,,117.0,,0,0
Canterbury Park,2025-07-27,6,2,Sunshine Fever,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Canterbury Park,2025-07-27,6,3,Dropped Cold,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Canterbury Park,2025-07-27,6,4,Hidden Spin,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Canterbury Park,2025-07-27,6,5,So Thrilling,0,,,-999.0,7,,,,0,,,,,,,,117.0,,0,0
Canterbury Park,2025-07-27,6,6,Foxy Zorra,0,,,-999.0,7,,,,0,,,,,,,,124.0,,0,0
Canterbury Park,2025-07-27,6,7,Tactical Express,0,,,-999.0,7,,,,0,,,,,,,,124.0,,0,0
Canterbury Park,2025-07-27,7,1,Bears' D,0,,,-999.0,8,,,,0,,,,,,,,124.0,,0,0
Canterbury Park,2025-07-27,7,2,Pahapesto Willy,0,,,-999.0,8,,,,0,,,,,,,,119.0,,0,0
Canterbury Park,2025-07-27,7,3,I'll Make Bank,0,,,-999.0,8,,,,0,,,,,,,,119.0,,0,0
Canterbury Park,2025-07-27,7,4,Mor Tiger Paw,0,,,-999.0,8,,,,0,,,,,,,,119.0,,0,0
Canterbury Park,2025-07-27,7,5,Can't Know,0,,,-999.0,8,,,,0,,,,,,,,119.0,,1,0
Canterbury Park,2025-07-27,7,6,Tequila Therapy,0,,,-999.0,8,,,,0,,,,,,,,119.0,,0,0
Canterbury Park,2025-07-27,7,7,Special Agent Man,0,,,-999.0,8,,,,0,,,,,,,,119.0,,0,0
Canterbury Park,2025-07-27,7,8,My Boy Bomber,0,,,-999.0,8,,,,0,,,,,,,,124.0,,0,0
Cross Country Pick 5,2025-07-27,1,1,Spectacular Grey,0,,,-999.0,11,,,,0,,,,,,,,118.0,,0,0
Cross Country Pick 5,2025-07-27,1,2,Slick Merlin,0,,,-999.0,11,,,,0,,,,,,,,118.0,,1,0
Cross Country Pick 5,2025-07-27,1,3,Fire On the Wire,0,,,-999.0,11,,,,0,,,,,,,,116.0,,0,0
Cross Country Pick 5,2025-07-27,1,4,Thank You Amy,0,,,-999.0,11,,,,0,,,,,,,,118.0,,0,0
Cross Country Pick 5,2025-07-27,1,5,Gerrards Cross,0,,,-999.0,11,,,,0,,,,,,,,118.0,,0,0
Cross Country Pick 5,2025-07-27,1,6,Clowning Around,0,,,-999.0,11,,,,0,,,,,,,,118.0,,0,0
Cross Country Pick 5,2025-07-27,1,7,Santina,0,,,-999.0,11,,,,0,,,,,,,,116.0,,0,0
Cross Country Pick 5,2025-07-27,1,8,Spinelli,0,,,-999.0,11,,,,0,,,,,,,,118.0,,0,0
Cross Country Pick 5,2025-07-27,1,9,Nacho Problem,0,,,-999.0,11,,,,0,,,,,,,,118.0,,0,0
Cross Country Pick 5,2025-07-27,1,10,Golden Beach,0,,,-999.0,11,,,,0,,,,,,,,118.0,,0,0
Cross Country Pick 5,2025-07-27,1,11,Pulstar,0,,,-999.0,11,,,,0,,,,,,,,118.0,,0,0
Cross Country Pick 5,2025-07-27,2,1,Alzero,0,,,-999.0,10,,,,0,,,,,,,,119.0,,0,0
Cross Country Pick 5,2025-07-27,2,1A,Speightful Storm,0,,,-999.0,10,,,,0,,,,,,,,119.0,,0,0
Cross Country Pick 5,2025-07-27,2,2,Keepinitreal,0,,,-999.0,10,,,,0,,,,,,,,119.0,,0,0
Cross Country Pick 5,2025-07-27,2,3,Solo Jim,0,,,-999.0,10,,,,0,,,,,,,,119.0,,1,0
Cross Country Pick 5,2025-07-27,2,4,Inonit,0,,,-999.0,10,,,,0,,,,,,,,124.0,,0,0
Cross Country Pick 5,2025-07-27,2,5,Long Pour,0,,,-999.0,10,,,,0,,,,,,,,119.0,,0,0
Cross Country Pick 5,2025-07-27,2,6,Twohonestmischief,0,,,-999.0,10,,,,0,,,,,,,,119.0,,0,0
Cross Country Pick 5,2025-07-27,2,7,Mission Hill,0,,,-999.0,10,,,,0,,,,,,,,124.0,,0,0
Cross Country Pick 5,2025-07-27,2,8,Crescendo's Rein,0,,,-999.0,10,,,,0,,,,,,,,124.0,,0,0
Cross Country Pick 5,2025-07-27,2,9,Gamebred,0,,,-999.0,10,,,,0,,,,,,,,119.0,,0,0
Cross Country Pick 5,2025-07-27,3,1,Mo's Vino Mesa,0,,,-999.0,7,,,,0,,,,,,,,121.0,,0,0
Cross Country Pick 5,2025-07-27,3,2,Unsolved Mystery,0,,,-999.0,7,,,,0,,,,,,,,124.0,,0,0
Cross Country Pick 5,2025-07-27,3,3,Sofster,0,,,-999.0,7,,,,0,,,,,,,,124.0,,0,0
Cross Country Pick 5,2025-07-27,3,4,Willful Desire,0,,,-999.0,7,,,,0,,,,,,,,121.0,,0,0
Cross Country Pick 5,2025-07-27,3,5,Frosted Diamond,0,,,-999.0,7,,,,0,,,,,,,,114.0,,0,0
Cross Country Pick 5,2025-07-27,3,6,Smooth Pebble,0,,,-999.0,7,,,,0,,,,,,,,121.0,,0,0
Cross Country Pick 5,2025-07-27,3,7,Popthechampagne Ro,0,,,-999.0,7,,,,0,,,,,,,,121.0,,0,0
Cross Country Pick 5,2025-07-27,4,1,La Mehana (FR),0,,,-999.0,9,,,,0,,,,,,,,120.0,,0,0
Cross Country Pick 5,2025-07-27,4,2,No Show Sammy Jo (GB),0,,,-999.0,9,,,,0,,,,,,,,120.0,,0,0
Cross Country Pick 5,2025-07-27,4,3,Sacaya (FR),0,,,-999.0,9,,,,0,,,,,,,,120.0,,0,0
Cross Country Pick 5,2025-07-27,4,4,Lady Firefoot,0,,,-999.0,9,,,,0,,,,,,,,120.0,,0,0
Cross Country Pick 5,2025-07-27,4,5,Long Ago (GB),0,,,-999.0,9,,,,0,,,,,,,,120.0,,0,0
Cross Country Pick 5,2025-07-27,4,6,Bellezza (IRE),0,,,-999.0,9,,,,0,,,,,,,,122.0,,0,0
Cross Country Pick 5,2025-07-27,4,7,Dazzlin' Dictator,0,,,-999.0,9,,,,0,,,,,,,,120.0,,0,0
Cross Country Pick 5,2025-07-27,4,8,Immensitude (FR),0,,,-999.0,9,,,,0,,,,,,,,120.0,,0,0
Cross Country Pick 5,2025-07-27,4,9,Bernietakescharge,0,,,-999.0,9,,,,0,,,,,,,,124.0,,0,0
Cross Country Pick 5,2025-07-27,5,1,Lookin to Rock,0,,,-999.0,12,,,,0,,,,,,,,120.0,,0,0
Cross Country Pick 5,2025-07-27,5,2,Party At the Post,0,,,-999.0,12,,,,0,,,,,,,,120.0,,0,0
Cross Country Pick 5,2025-07-27,5,3,Alpine Giant,0,,,-999.0,12,,,,0,,,,,,,,120.0,,0,0
Cross Country Pick 5,2025-07-27,5,4,Likely Perspective (IRE),0,,,-999.0,12,,,,0,,,,,,,,120.0,,1,0
Cross Country Pick 5,2025-07-27,5,5,Speed of Sound,0,,,-999.0,12,,,,0,,,,,,,,120.0,,0,0
Cross Country Pick 5,2025-07-27,5,6,Lady River Lily,0,,,-999.0,12,,,,0,,,,,,,,120.0,,0,0
