track,date,race,program,horse,win,ml_dec,live_dec,minutes_to_post,field_size,surface,prev_surface,distance_yards,rail,speed,ep,lp,class,trainer_win,jockey_win,combo_win,weight,last_days,equip_blinker,equip_lasix
Finger Lakes,2024-10-15,1,1,Super Slide,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Finger Lakes,2024-10-15,1,2,Ouch That Hurt,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Finger Lakes,2024-10-15,1,3,Trivia,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Finger Lakes,2024-10-15,1,4,Princess Sonya,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Finger Lakes,2024-10-15,1,5,Meraviglioso,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Finger Lakes,2024-10-15,1,6,Reiterate,0,,,-999.0,7,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,1,7,Strange Fruit,0,,,-999.0,7,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,2,1,Take the Edge,0,,,-999.0,6,,,,0,,,,,,,,122.0,,0,0
Finger Lakes,2024-10-15,2,2,Drinking Solo,0,,,-999.0,6,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,2,3,Nemo`s Fortune,0,,,-999.0,6,,,,0,,,,,,,,122.0,,0,0
Finger Lakes,2024-10-15,2,4,Reunion Tour,0,,,-999.0,6,,,,0,,,,,,,,122.0,,0,0
Finger Lakes,2024-10-15,2,5,Over the Cap,0,,,-999.0,6,,,,0,,,,,,,,122.0,,0,0
Finger Lakes,2024-10-15,2,6,Thirty Oysters,0,,,-999.0,6,,,,0,,,,,,,,122.0,,0,0
Finger Lakes,2024-10-15,3,1,Rosebud Ryde,0,,,-999.0,7,,,,0,,,,,,,,120.0,,0,0
Finger Lakes,2024-10-15,3,2,Sheza Bernardini,0,,,-999.0,7,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,3,3,Champagne Surprise,0,,,-999.0,7,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,3,4,Nurse Bunny,0,,,-999.0,7,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,3,5,Til There Was You,0,,,-999.0,7,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,3,6,Speights Dance,0,,,-999.0,7,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,3,7,Grab the Glory,0,,,-999.0,7,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,4,1,Discodrama,0,,,-999.0,8,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,4,2,Dharma,0,,,-999.0,8,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,4,3,It`s Our Destiny,0,,,-999.0,8,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,4,4,Last Best Laugh,0,,,-999.0,8,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,4,5,Dark Princess,0,,,-999.0,8,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,4,6,Playing With Dolls,0,,,-999.0,8,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,4,7,Mia Nipotina,0,,,-999.0,8,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,4,8,Big Advantage,0,,,-999.0,8,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,5,1,Go Grad,0,,,-999.0,7,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,5,2,Connect the Brocks,0,,,-999.0,7,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,5,3,Free Folk,0,,,-999.0,7,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,5,4,Last Drink,0,,,-999.0,7,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,5,5,Happy Instead,0,,,-999.0,7,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,5,6,King Khali,0,,,-999.0,7,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,5,7,Makar,0,,,-999.0,7,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,6,1,Destined for Glory,0,,,-999.0,10,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,6,2,Findaname,0,,,-999.0,10,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,6,3,Hal Away,0,,,-999.0,10,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,6,4,Jake`s Orchard,0,,,-999.0,10,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,6,5,Still a Soldier,0,,,-999.0,10,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,6,6,Dr. Darby,0,,,-999.0,10,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,6,7,Vigano,0,,,-999.0,10,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,6,8,Alpha Sonny,0,,,-999.0,10,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,6,9,Mobot,0,,,-999.0,10,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,6,10,Fluorescent Bay,0,,,-999.0,10,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,7,1,Mary Union Ave,0,,,-999.0,8,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,7,2,World Bank,0,,,-999.0,8,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,7,3,Diva de Oro,0,,,-999.0,8,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,7,4,Barbara`s Spirit,0,,,-999.0,8,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,7,5,Hypnotic Flair,0,,,-999.0,8,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,7,6,P. A. Advantage,0,,,-999.0,8,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,7,7,My Kinda Mischief,0,,,-999.0,8,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,7,8,Refuse to Lose,0,,,-999.0,8,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,8,1,Sweet Shallots,0,,,-999.0,9,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,8,2,Tekila,0,,,-999.0,9,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,8,3,In Traffic,0,,,-999.0,9,,,,0,,,,,,,,120.0,,0,0
Finger Lakes,2024-10-15,8,4,Chem Major,0,,,-999.0,9,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,8,5,Miss Pab,0,,,-999.0,9,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,8,6,Mornin` Boss,0,,,-999.0,9,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,8,7,Violent Vixen,0,,,-999.0,9,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,8,8,Who Asked You,0,,,-999.0,9,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,8,9,Fast Fran,0,,,-999.0,9,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,9,1,Bet the Palace,0,,,-999.0,10,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,9,2,You Beaut,0,,,-999.0,10,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,9,3,With Know Name,0,,,-999.0,10,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,9,4,Classical,0,,,-999.0,10,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,9,5,B C Glory Days,0,,,-999.0,10,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,9,6,Five Aces,0,,,-999.0,10,,,,0,,,,,,,,121.0,,0,0
Finger Lakes,2024-10-15,9,7,Don Antonio,0,,,-999.0,10,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,9,8,She Speaks Well,0,,,-999.0,10,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,9,9,Onofrio,0,,,-999.0,10,,,,0,,,,,,,,124.0,,0,0
Finger Lakes,2024-10-15,9,10,Spoofy,0,,,-999.0,10,,,,0,,,,,,,,124.0,,0,0
Parx Racing,2024-10-15,1,1,Go Chloe Go,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2024-10-15,1,2,Jump a Fox,0,,,-999.0,7,,,,0,,,,,,,,125.0,,0,0
Parx Racing,2024-10-15,1,3,Dreamingoffreedom,0,,,-999.0,7,,,,0,,,,,,,,117.0,,0,0
Parx Racing,2024-10-15,1,4,Jamaican Mi Hazel,0,,,-999.0,7,,,,0,,,,,,,,125.0,,0,0
Parx Racing,2024-10-15,1,5,Racey Ruby,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2024-10-15,1,6,Jess`s Moment,0,,,-999.0,7,,,,0,,,,,,,,112.0,,0,0
Parx Racing,2024-10-15,1,7,Incan Moon Goddess,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2024-10-15,2,1,Vitaemi,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2024-10-15,2,2,Lulinda`s Heart,0,,,-999.0,7,,,,0,,,,,,,,117.0,,0,0
Parx Racing,2024-10-15,2,3,Cup of Life,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2024-10-15,2,4,Lil` Late Luck,0,,,-999.0,7,,,,0,,,,,,,,117.0,,0,0
Parx Racing,2024-10-15,2,5,Bella Maria,0,,,-999.0,7,,,,0,,,,,,,,112.0,,0,0
