track,date,race,program,horse,win,ml_dec,live_dec,minutes_to_post,field_size,surface,prev_surface,distance_yards,rail,speed,ep,lp,class,trainer_win,jockey_win,combo_win,weight,last_days,equip_blinker,equip_lasix
Ajax Downs,2025-08-20,1,1,Shake Em Alice,0,,,-999.0,6,,,,0,,,,,,,,130.0,,1,0
Ajax Downs,2025-08-20,1,2,Haaave You Met Karma,0,,,-999.0,6,,,,0,,,,,,,,126.0,,1,0
Ajax Downs,2025-08-20,1,3,Cold and Sassy,0,,,-999.0,6,,,,0,,,,,,,,120.0,,1,0
Ajax Downs,2025-08-20,1,4,Especially Tempting,0,,,-999.0,6,,,,0,,,,,,,,130.0,,0,0
Ajax Downs,2025-08-20,1,5,Lights Dynasty,0,,,-999.0,6,,,,0,,,,,,,,130.0,,1,0
Ajax Downs,2025-08-20,1,6,Agent Ice,0,,,-999.0,6,,,,0,,,,,,,,130.0,,0,0
Ajax Downs,2025-08-20,2,1,Rushin for Glory,0,,,-999.0,5,,,,0,,,,,,,,130.0,,0,0
Ajax Downs,2025-08-20,2,2,Fly Fishn,0,,,-999.0,5,,,,0,,,,,,,,130.0,,0,0
Ajax Downs,2025-08-20,2,3,Rushin for Dough,0,,,-999.0,5,,,,0,,,,,,,,130.0,,0,0
Ajax Downs,2025-08-20,2,4,Caraways Magic Rain,0,,,-999.0,5,,,,0,,,,,,,,126.0,,0,0
Ajax Downs,2025-08-20,2,5,Icon Dash,0,,,-999.0,5,,,,0,,,,,,,,130.0,,1,0
Ajax Downs,2025-08-20,3,1,Ivory Queen,0,,,-999.0,5,,,,0,,,,,,,,130.0,,0,0
Ajax Downs,2025-08-20,3,2,Azures Royalty,0,,,-999.0,5,,,,0,,,,,,,,126.0,,1,0
Ajax Downs,2025-08-20,3,3,Rr Illbeurhucklebery,0,,,-999.0,5,,,,0,,,,,,,,130.0,,0,0
Ajax Downs,2025-08-20,3,4,Ice Cream Cartel,0,,,-999.0,5,,,,0,,,,,,,,126.0,,0,0
Ajax Downs,2025-08-20,3,5,Caviar On Ice,0,,,-999.0,5,,,,0,,,,,,,,129.0,,0,0
