track,date,race,program,horse,win,ml_dec,live_dec,minutes_to_post,field_size,surface,prev_surface,distance_yards,rail,speed,ep,lp,class,trainer_win,jockey_win,combo_win,weight,last_days,equip_blinker,equip_lasix
Mountaineer Park,2024-12-03,1,1,My d'Valentine,0,,,-999.0,9,,,,0,,,,,,,,120.0,,0,0
Mountaineer Park,2024-12-03,1,2,Charlottes Way,0,,,-999.0,9,,,,0,,,,,,,,120.0,,0,0
Mountaineer Park,2024-12-03,1,3,Tovia,0,,,-999.0,9,,,,0,,,,,,,,120.0,,0,0
Mountaineer Park,2024-12-03,1,4,She She's Shadow,0,,,-999.0,9,,,,0,,,,,,,,118.0,,0,0
Mountaineer Park,2024-12-03,1,5,Veracious Vera,0,,,-999.0,9,,,,0,,,,,,,,118.0,,0,0
Mountaineer Park,2024-12-03,1,6,Red Delicious,0,,,-999.0,9,,,,0,,,,,,,,120.0,,0,0
Mountaineer Park,2024-12-03,1,7,Court Costs,0,,,-999.0,9,,,,0,,,,,,,,123.0,,0,0
Mountaineer Park,2024-12-03,1,8,Princess Tereska,0,,,-999.0,9,,,,0,,,,,,,,120.0,,0,0
Mountaineer Park,2024-12-03,1,9,Bethpage,0,,,-999.0,9,,,,0,,,,,,,,120.0,,0,0
Mountaineer Park,2024-12-03,2,1,Tamara's Way,0,,,-999.0,8,,,,0,,,,,,,,120.0,,0,0
Mountaineer Park,2024-12-03,2,2,Ultra Diva,0,,,-999.0,8,,,,0,,,,,,,,120.0,,0,0
Mountaineer Park,2024-12-03,2,3,Sweet Smila,0,,,-999.0,8,,,,0,,,,,,,,118.0,,0,0
Mountaineer Park,2024-12-03,2,4,Love of Grace,0,,,-999.0,8,,,,0,,,,,,,,120.0,,0,0
Mountaineer Park,2024-12-03,2,5,Whiskey Talking,0,,,-999.0,8,,,,0,,,,,,,,120.0,,0,0
Mountaineer Park,2024-12-03,2,6,Icey Angel,0,,,-999.0,8,,,,0,,,,,,,,120.0,,0,0
Mountaineer Park,2024-12-03,2,7,Maci's World,0,,,-999.0,8,,,,0,,,,,,,,121.0,,0,0
Mountaineer Park,2024-12-03,2,8,Snow Glo,0,,,-999.0,8,,,,0,,,,,,,,121.0,,0,0
Mountaineer Park,2024-12-03,3,1,Test Your Faith,0,,,-999.0,8,,,,0,,,,,,,,123.0,,0,0
Mountaineer Park,2024-12-03,3,2,Snowbird,0,,,-999.0,8,,,,0,,,,,,,,118.0,,0,0
