track,date,race,program,horse,win,ml_dec,live_dec,minutes_to_post,field_size,surface,prev_surface,distance_yards,rail,speed,ep,lp,class,trainer_win,jockey_win,combo_win,weight,last_days
Gulfstream Park,2024-09-13,7,1,Whateverwilbewilbe,0,,,-999.0,8,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,7,2,Secret Lover,0,,,-999.0,8,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,7,3,King Faliero,0,,,-999.0,8,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,7,4,In the Blue,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Gulfstream Park,2024-09-13,7,5,Sultan the Great,0,,,-999.0,8,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,7,6,Star of the Beast,0,,,-999.0,8,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,7,7,Lace Up,0,,,-999.0,8,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,7,8,Raging Fury,0,,,-999.0,8,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,8,1,Welcome Back,0,,,-999.0,9,,,,0.0,,,,,,,,123.0,
Gulfstream Park,2024-09-13,8,2,Etrurian,0,,,-999.0,9,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,8,3,Next Right Thing,0,,,-999.0,9,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,8,4,Super Freaky Girl,0,,,-999.0,9,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,8,5,Tinki Abarrio,0,,,-999.0,9,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,8,6,Deflection,0,,,-999.0,9,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,8,7,Mywifeknowsitall,0,,,-999.0,9,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,8,8,Roscoe Village,0,,,-999.0,9,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,8,9,Lucy's Cookie,0,,,-999.0,9,,,,0.0,,,,,,,,118.0,
Gulfstream Park,2024-09-13,9,1,Ideal Breeze,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Gulfstream Park,2024-09-13,9,2,Ritabook,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Gulfstream Park,2024-09-13,9,3,Just Take Notes,0,,,-999.0,8,,,,0.0,,,,,,,,120.0,
Gulfstream Park,2024-09-13,9,4,She's Outta Here,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Gulfstream Park,2024-09-13,9,5,Macassa,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Gulfstream Park,2024-09-13,9,6,Foxy Lady,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Gulfstream Park,2024-09-13,9,7,Trotting Gear,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Gulfstream Park,2024-09-13,9,8,Barbara,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Laurel Park,2024-09-13,1,1,Prom Knight,0,,,-999.0,7,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,1,2,Bold Honor,0,,,-999.0,7,,,,0.0,,,,,,,,117.0,
Laurel Park,2024-09-13,1,3,Dream River,0,,,-999.0,7,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,1,4,Gabriel Seven,0,,,-999.0,7,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,1,5,Aim for the Cork,0,,,-999.0,7,,,,0.0,,,,,,,,118.0,
Laurel Park,2024-09-13,1,6,Box N Ben,0,,,-999.0,7,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,1,7,Bigdaddysboy,0,,,-999.0,7,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,2,1,In Her Cups,0,,,-999.0,12,,,,0.0,,,,,,,,126.0,
Laurel Park,2024-09-13,2,2,Lenamagnetta,0,,,-999.0,12,,,,0.0,,,,,,,,121.0,
Laurel Park,2024-09-13,2,3,Rye Smile,0,,,-999.0,12,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,2,4,T C Neigh,0,,,-999.0,12,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,2,5,Romantic Story,0,,,-999.0,12,,,,0.0,,,,,,,,118.0,
Laurel Park,2024-09-13,2,6,Hateful,0,,,-999.0,12,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,2,7,Surprisingly Sweet,0,,,-999.0,12,,,,0.0,,,,,,,,126.0,
Laurel Park,2024-09-13,2,8,Asknotwhatyoucando,0,,,-999.0,12,,,,0.0,,,,,,,,126.0,
Laurel Park,2024-09-13,2,9,Hot Dance,0,,,-999.0,12,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,2,10,Doris' Slaying It,0,,,-999.0,12,,,,0.0,,,,,,,,126.0,
Laurel Park,2024-09-13,2,11,Divine Spirit,0,,,-999.0,12,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,2,12,Police Woman,0,,,-999.0,12,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,3,1,Rushin Tothecircle,0,,,-999.0,8,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,3,2,Last Second Louie,0,,,-999.0,8,,,,0.0,,,,,,,,126.0,
Laurel Park,2024-09-13,3,3,General J R,0,,,-999.0,8,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,3,4,Car Ride,0,,,-999.0,8,,,,0.0,,,,,,,,126.0,
Laurel Park,2024-09-13,3,5,Amani's Tiger,0,,,-999.0,8,,,,0.0,,,,,,,,126.0,
Laurel Park,2024-09-13,3,6,Letsgetluckytonite,0,,,-999.0,8,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,3,7,Photo Hop,0,,,-999.0,8,,,,0.0,,,,,,,,117.0,
Laurel Park,2024-09-13,3,8,Again We Meet,0,,,-999.0,8,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,4,1,Perpetual Praise,0,,,-999.0,7,,,,0.0,,,,,,,,123.0,
Laurel Park,2024-09-13,4,2,Kelly's Party Girl,0,,,-999.0,7,,,,0.0,,,,,,,,123.0,
Laurel Park,2024-09-13,4,3,Out of Luck,0,,,-999.0,7,,,,0.0,,,,,,,,126.0,
Laurel Park,2024-09-13,4,4,Afleet Diva,0,,,-999.0,7,,,,0.0,,,,,,,,114.0,
Laurel Park,2024-09-13,4,5,Preparefortakeoff,0,,,-999.0,7,,,,0.0,,,,,,,,119.0,
Laurel Park,2024-09-13,4,6,Sapphire Beauty,0,,,-999.0,7,,,,0.0,,,,,,,,123.0,
Laurel Park,2024-09-13,4,7,Martha's Banner,0,,,-999.0,7,,,,0.0,,,,,,,,119.0,
Laurel Park,2024-09-13,5,1,Gray Charles,0,,,-999.0,8,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,5,2,Flatbed Ford,0,,,-999.0,8,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,5,3,Pipi N Mimi,0,,,-999.0,8,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,5,4,Imperial Brut,0,,,-999.0,8,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,5,5,Bishop Meade,0,,,-999.0,8,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,5,6,Edelweiss,0,,,-999.0,8,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,5,7,Burning Munny,0,,,-999.0,8,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,5,8,Pint Glass,0,,,-999.0,8,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,6,1,Payout Ratio (IRE),0,,,-999.0,16,,,,0.0,,,,,,,,118.0,
Laurel Park,2024-09-13,6,2,Too Many Kisses,0,,,-999.0,16,,,,0.0,,,,,,,,123.0,
Laurel Park,2024-09-13,6,3,Justified Strategy,0,,,-999.0,16,,,,0.0,,,,,,,,119.0,
Laurel Park,2024-09-13,6,4,Gogo Chanel,0,,,-999.0,16,,,,0.0,,,,,,,,123.0,
Laurel Park,2024-09-13,6,5,Union Suit,0,,,-999.0,16,,,,0.0,,,,,,,,119.0,
Laurel Park,2024-09-13,6,6,Next Girl,0,,,-999.0,16,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,6,7,Major Houlihan,0,,,-999.0,16,,,,0.0,,,,,,,,118.0,
Laurel Park,2024-09-13,6,8,Viennese Waltz,0,,,-999.0,16,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,6,9,Shine On Moon,0,,,-999.0,16,,,,0.0,,,,,,,,119.0,
Laurel Park,2024-09-13,6,10,Miz Sense,0,,,-999.0,16,,,,0.0,,,,,,,,119.0,
Laurel Park,2024-09-13,6,11,Atlas Strong,0,,,-999.0,16,,,,0.0,,,,,,,,126.0,
Laurel Park,2024-09-13,6,12,Fivecommatwo,0,,,-999.0,16,,,,0.0,,,,,,,,123.0,
Laurel Park,2024-09-13,6,13,Juniper Juice,0,,,-999.0,16,,,,0.0,,,,,,,,119.0,
Laurel Park,2024-09-13,6,14,Strike When Ready,0,,,-999.0,16,,,,0.0,,,,,,,,119.0,
Laurel Park,2024-09-13,6,15,La Pachanga,0,,,-999.0,16,,,,0.0,,,,,,,,123.0,
Laurel Park,2024-09-13,6,16,Laddies Song,0,,,-999.0,16,,,,0.0,,,,,,,,123.0,
Laurel Park,2024-09-13,7,1,Illuminatrice,0,,,-999.0,9,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,7,2,Souper Upgrade,0,,,-999.0,9,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,7,3,More Bubbles,0,,,-999.0,9,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,7,4,Nick's Notion,0,,,-999.0,9,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,7,5,Queen's Wreath,0,,,-999.0,9,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,7,6,Daze,0,,,-999.0,9,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,7,7,Go Round,0,,,-999.0,9,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,7,8,Itsamonstamash,0,,,-999.0,9,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,7,9,Hiya Love,0,,,-999.0,9,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,8,1,Easter Sunday Girl,0,,,-999.0,15,,,,0.0,,,,,,,,118.0,
Laurel Park,2024-09-13,8,2,Minari,0,,,-999.0,15,,,,0.0,,,,,,,,126.0,
Laurel Park,2024-09-13,8,3,Love Saga,0,,,-999.0,15,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,8,4,Bandbox Legacy,0,,,-999.0,15,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,8,5,Independence Way,0,,,-999.0,15,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,8,6,Have a Chance,0,,,-999.0,15,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,8,7,Laughing Fit,0,,,-999.0,15,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,8,8,Sultry Sky,0,,,-999.0,15,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,8,9,Lucky Honey,0,,,-999.0,15,,,,0.0,,,,,,,,118.0,
Laurel Park,2024-09-13,8,10,Dropping Lemons,0,,,-999.0,15,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,8,11,Mer Soleil,0,,,-999.0,15,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,8,12,Audibly,0,,,-999.0,15,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,8,13,Incisive Kitten,0,,,-999.0,15,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,8,14,Steam Knot,0,,,-999.0,15,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,8,15,Channel Loop,0,,,-999.0,15,,,,0.0,,,,,,,,118.0,
Laurel Park,2024-09-13,9,1,Irish Exit,0,,,-999.0,8,,,,0.0,,,,,,,,126.0,
Laurel Park,2024-09-13,9,1A,Excellorator,0,,,-999.0,8,,,,0.0,,,,,,,,126.0,
Laurel Park,2024-09-13,9,2,Brilliant Ice,0,,,-999.0,8,,,,0.0,,,,,,,,123.0,
Laurel Park,2024-09-13,9,3,Vance Scholars,0,,,-999.0,8,,,,0.0,,,,,,,,123.0,
Laurel Park,2024-09-13,9,4,Armando R,0,,,-999.0,8,,,,0.0,,,,,,,,123.0,
Laurel Park,2024-09-13,9,5,Boss Logic,0,,,-999.0,8,,,,0.0,,,,,,,,118.0,
Laurel Park,2024-09-13,9,6,Whelen Springs,0,,,-999.0,8,,,,0.0,,,,,,,,123.0,
Laurel Park,2024-09-13,9,7,Bob Marco,0,,,-999.0,8,,,,0.0,,,,,,,,123.0,
Laurel Park,2024-09-13,10,1,Smilingontheinside,0,,,-999.0,11,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,10,2,Mun Mun Can Run,0,,,-999.0,11,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,10,3,High Breeze (FR),0,,,-999.0,11,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,10,4,Boujee Bubblez,0,,,-999.0,11,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,10,5,Kisses for Kate,0,,,-999.0,11,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,10,6,U Know When U Know,0,,,-999.0,11,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,10,7,Souper Amusing,0,,,-999.0,11,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,10,8,Impetus Echo (GB),0,,,-999.0,11,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,10,9,Curl N Rod,0,,,-999.0,11,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,10,10,Mindful Angel,0,,,-999.0,11,,,,0.0,,,,,,,,122.0,
Laurel Park,2024-09-13,10,11,Gem Runner,0,,,-999.0,11,,,,0.0,,,,,,,,122.0,
Woodbine,2024-09-13,1,1,Banker's Hours,0,,,-999.0,8,,,,0.0,,,,,,,,122.0,
Woodbine,2024-09-13,1,2,Jmr Speedy Escape,0,,,-999.0,8,,,,0.0,,,,,,,,122.0,
Woodbine,2024-09-13,1,3,The Predicament,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Woodbine,2024-09-13,1,4,Souper Rush,0,,,-999.0,8,,,,0.0,,,,,,,,119.0,
Woodbine,2024-09-13,1,5,Midnight Ramblin,0,,,-999.0,8,,,,0.0,,,,,,,,122.0,
Woodbine,2024-09-13,1,6,He's Fully Loaded,0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Woodbine,2024-09-13,1,7,Hardware Gap,0,,,-999.0,8,,,,0.0,,,,,,,,117.0,
Woodbine,2024-09-13,1,8,Legal Attack (GB),0,,,-999.0,8,,,,0.0,,,,,,,,124.0,
Woodbine,2024-09-13,2,1,Uptown Lights,0,,,-999.0,7,,,,0.0,,,,,,,,117.0,
Woodbine,2024-09-13,2,2,Pat's Gamble,0,,,-999.0,7,,,,0.0,,,,,,,,117.0,
Woodbine,2024-09-13,2,3,Secret Threat,0,,,-999.0,7,,,,0.0,,,,,,,,124.0,
Woodbine,2024-09-13,2,4,Cooler Man,0,,,-999.0,7,,,,0.0,,,,,,,,119.0,
Woodbine,2024-09-13,2,5,Hemlo Gold,0,,,-999.0,7,,,,0.0,,,,,,,,122.0,
Woodbine,2024-09-13,2,6,Bode's Tipsy,0,,,-999.0,7,,,,0.0,,,,,,,,122.0,
Woodbine,2024-09-13,2,7,Two Ghosts,0,,,-999.0,7,,,,0.0,,,,,,,,119.0,
Woodbine,2024-09-13,3,1,Tax Included,0,,,-999.0,7,,,,0.0,,,,,,,,121.0,
Woodbine,2024-09-13,3,2,Calusa Donnie,0,,,-999.0,7,,,,0.0,,,,,,,,121.0,
Woodbine,2024-09-13,3,3,Patrolman,0,,,-999.0,7,,,,0.0,,,,,,,,123.0,
Woodbine,2024-09-13,3,4,My Munnings Model,0,,,-999.0,7,,,,0.0,,,,,,,,120.0,
Woodbine,2024-09-13,3,5,Smart Almasty,0,,,-999.0,7,,,,0.0,,,,,,,,120.0,
Woodbine,2024-09-13,3,6,North Warden,0,,,-999.0,7,,,,0.0,,,,,,,,115.0,
Woodbine,2024-09-13,3,7,Pet Sounds,0,,,-999.0,7,,,,0.0,,,,,,,,118.0,
Woodbine,2024-09-13,4,1,Catholic Jackie,0,,,-999.0,9,,,,0.0,,,,,,,,113.0,
Woodbine,2024-09-13,4,2,Hanlan,0,,,-999.0,9,,,,0.0,,,,,,,,120.0,
Woodbine,2024-09-13,4,3,Ginger's Holiday,0,,,-999.0,9,,,,0.0,,,,,,,,115.0,
Woodbine,2024-09-13,4,4,People Are People,0,,,-999.0,9,,,,0.0,,,,,,,,120.0,
Woodbine,2024-09-13,4,5,Speedy Bulleit,0,,,-999.0,9,,,,0.0,,,,,,,,118.0,
Woodbine,2024-09-13,4,6,True Shot,0,,,-999.0,9,,,,0.0,,,,,,,,120.0,
Woodbine,2024-09-13,4,7,Issano,0,,,-999.0,9,,,,0.0,,,,,,,,120.0,
Woodbine,2024-09-13,4,8,Frost Bitten,0,,,-999.0,9,,,,0.0,,,,,,,,120.0,
Woodbine,2024-09-13,4,9,Wetiko,0,,,-999.0,9,,,,0.0,,,,,,,,118.0,
Woodbine,2024-09-13,5,1,Looks Lucky to Me,0,,,-999.0,9,,,,0.0,,,,,,,,115.0,
Woodbine,2024-09-13,5,2,Well Actually,0,,,-999.0,9,,,,0.0,,,,,,,,123.0,
Woodbine,2024-09-13,5,3,Katherine's Gem,0,,,-999.0,9,,,,0.0,,,,,,,,120.0,
Woodbine,2024-09-13,5,4,Silent Tribute,0,,,-999.0,9,,,,0.0,,,,,,,,123.0,
Woodbine,2024-09-13,5,5,Speedy Essa,0,,,-999.0,9,,,,0.0,,,,,,,,118.0,
Woodbine,2024-09-13,5,6,O Wow,0,,,-999.0,9,,,,0.0,,,,,,,,123.0,
Woodbine,2024-09-13,5,7,Lulu's Lullaby,0,,,-999.0,9,,,,0.0,,,,,,,,121.0,
Woodbine,2024-09-13,5,8,Norma No,0,,,-999.0,9,,,,0.0,,,,,,,,120.0,
Woodbine,2024-09-13,5,9,Julie's Mist,0,,,-999.0,9,,,,0.0,,,,,,,,123.0,
Woodbine,2024-09-13,6,1,Good as Gone,0,,,-999.0,8,,,,0.0,,,,,,,,122.0,
Woodbine,2024-09-13,6,2,Kid Gizmo,0,,,-999.0,8,,,,0.0,,,,,,,,114.0,
Woodbine,2024-09-13,6,3,Bravo Kate,0,,,-999.0,8,,,,0.0,,,,,,,,119.0,
Woodbine,2024-09-13,6,4,Twisted Romance,0,,,-999.0,8,,,,0.0,,,,,,,,119.0,
Woodbine,2024-09-13,6,5,Go Giffen,0,,,-999.0,8,,,,0.0,,,,,,,,119.0,
Woodbine,2024-09-13,6,6,Nikita's Gem,0,,,-999.0,8,,,,0.0,,,,,,,,119.0,
Woodbine,2024-09-13,6,7,Sharp Flame,0,,,-999.0,8,,,,0.0,,,,,,,,119.0,
Woodbine,2024-09-13,6,8,Lookin to Conquer,0,,,-999.0,8,,,,0.0,,,,,,,,114.0,
Woodbine,2024-09-13,7,1,Race for Pinks,0,,,-999.0,9,,,,0.0,,,,,,,,116.0,
Woodbine,2024-09-13,7,2,Shady Empire,0,,,-999.0,9,,,,0.0,,,,,,,,118.0,
Woodbine,2024-09-13,7,3,Forester Humor,0,,,-999.0,9,,,,0.0,,,,,,,,123.0,
Woodbine,2024-09-13,7,4,Ghoul (BRZ),0,,,-999.0,9,,,,0.0,,,,,,,,121.0,
Woodbine,2024-09-13,7,5,Mannix (IRE),0,,,-999.0,9,,,,0.0,,,,,,,,121.0,
Woodbine,2024-09-13,7,6,Highland Society,0,,,-999.0,9,,,,0.0,,,,,,,,116.0,
Woodbine,2024-09-13,7,7,Mighty Sea,0,,,-999.0,9,,,,0.0,,,,,,,,123.0,
Woodbine,2024-09-13,7,8,Life Is Hard,0,,,-999.0,9,,,,0.0,,,,,,,,123.0,
Woodbine,2024-09-13,7,9,Stylish Gent,0,,,-999.0,9,,,,0.0,,,,,,,,123.0,
Woodbine,2024-09-13,8,1,British Artillery,0,,,-999.0,9,,,,0.0,,,,,,,,122.0,
Woodbine,2024-09-13,8,2,Dare to Be King,0,,,-999.0,9,,,,0.0,,,,,,,,117.0,
Woodbine,2024-09-13,8,3,Tunechi,0,,,-999.0,9,,,,0.0,,,,,,,,119.0,
Woodbine,2024-09-13,8,4,Jo Daddy,0,,,-999.0,9,,,,0.0,,,,,,,,119.0,
