track,date,race,program,horse,win,ml_dec,live_dec,minutes_to_post,field_size,surface,prev_surface,distance_yards,rail,speed,ep,lp,class,trainer_win,jockey_win,combo_win,weight,last_days,equip_blinker,equip_lasix
Parx Racing,2025-05-28,1,1,Jades Jay,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,1,2,Pontiac,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,1,3,Gamerun,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,1,4,Vini Vidi Vici,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,1,5,It's a Pity,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,1,6,Stay Funny,0,,,-999.0,7,,,,0,,,,,,,,117.0,,0,0
Parx Racing,2025-05-28,1,7,Amazing Woo,0,,,-999.0,7,,,,0,,,,,,,,125.0,,0,0
Parx Racing,2025-05-28,2,1,Take Time to Dream,0,,,-999.0,6,,,,0,,,,,,,,120.0,,0,0
Parx Racing,2025-05-28,2,2,Jezebel Jade,0,,,-999.0,6,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,2,3,Frosted Diamond,0,,,-999.0,6,,,,0,,,,,,,,117.0,,0,0
Parx Racing,2025-05-28,2,4,Mended We Stand,0,,,-999.0,6,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,2,5,Creative Copy,0,,,-999.0,6,,,,0,,,,,,,,117.0,,0,0
Parx Racing,2025-05-28,2,6,Bright Kohana,0,,,-999.0,6,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,3,1,Don't Post It,0,,,-999.0,6,,,,0,,,,,,,,120.0,,0,0
Parx Racing,2025-05-28,3,2,Miss Casella,0,,,-999.0,6,,,,0,,,,,,,,120.0,,0,0
Parx Racing,2025-05-28,3,3,Ameliorate,0,,,-999.0,6,,,,0,,,,,,,,125.0,,0,0
Parx Racing,2025-05-28,3,4,Norho's Gamble,0,,,-999.0,6,,,,0,,,,,,,,125.0,,0,0
Parx Racing,2025-05-28,3,5,Hurricane Jane,0,,,-999.0,6,,,,0,,,,,,,,120.0,,0,0
Parx Racing,2025-05-28,3,6,Risky Day,0,,,-999.0,6,,,,0,,,,,,,,115.0,,0,0
Parx Racing,2025-05-28,4,1,I'm Gittin There,0,,,-999.0,6,,,,0,,,,,,,,125.0,,0,0
Parx Racing,2025-05-28,4,2,Erin's Enthusiasm,0,,,-999.0,6,,,,0,,,,,,,,125.0,,0,0
Parx Racing,2025-05-28,4,3,Summersattheshore,0,,,-999.0,6,,,,0,,,,,,,,125.0,,0,0
Parx Racing,2025-05-28,4,4,Hi Heeled Warrior,0,,,-999.0,6,,,,0,,,,,,,,120.0,,0,0
Parx Racing,2025-05-28,4,5,Job's Not Finished,0,,,-999.0,6,,,,0,,,,,,,,120.0,,0,0
Parx Racing,2025-05-28,4,6,Solemn Oath,0,,,-999.0,6,,,,0,,,,,,,,120.0,,0,0
Parx Racing,2025-05-28,5,1,On Paradise Hill,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,5,2,Permed,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,5,3,Everheart,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,5,4,Lady Annabelle,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,5,5,You're Forever,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,5,6,Sister Eve,0,,,-999.0,7,,,,0,,,,,,,,125.0,,0,0
Parx Racing,2025-05-28,5,7,Charm of the Song,0,,,-999.0,7,,,,0,,,,,,,,125.0,,0,0
Parx Racing,2025-05-28,6,1,Sir Rob Roy,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,6,2,River's Gamble,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,6,3,Skull Honor,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,6,4,Ohio Joe,0,,,-999.0,7,,,,0,,,,,,,,112.0,,0,0
Parx Racing,2025-05-28,6,5,Coach Knight,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,6,6,Coach Clint,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,6,7,Marchin Into April,0,,,-999.0,7,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,7,1,Lord Winsalot,0,,,-999.0,9,,,,0,,,,,,,,125.0,,0,0
Parx Racing,2025-05-28,7,2,Nuedorf,0,,,-999.0,9,,,,0,,,,,,,,125.0,,0,0
Parx Racing,2025-05-28,7,3,Practical Coach,0,,,-999.0,9,,,,0,,,,,,,,125.0,,0,0
Parx Racing,2025-05-28,7,4,Spotted Bull,0,,,-999.0,9,,,,0,,,,,,,,120.0,,0,0
Parx Racing,2025-05-28,7,5,Shanghai Superfly,0,,,-999.0,9,,,,0,,,,,,,,125.0,,0,0
Parx Racing,2025-05-28,7,6,My Man Woody,0,,,-999.0,9,,,,0,,,,,,,,120.0,,0,0
Parx Racing,2025-05-28,7,7,Awesome for Sure,0,,,-999.0,9,,,,0,,,,,,,,125.0,,0,0
Parx Racing,2025-05-28,7,8,Jebologist,0,,,-999.0,9,,,,0,,,,,,,,118.0,,0,0
Parx Racing,2025-05-28,7,9,Six Whips,0,,,-999.0,9,,,,0,,,,,,,,115.0,,0,0
Parx Racing,2025-05-28,8,1,Jackson's Legacy,0,,,-999.0,7,,,,0,,,,,,,,119.0,,0,0
Parx Racing,2025-05-28,8,2,Colonel Bob,0,,,-999.0,7,,,,0,,,,,,,,119.0,,0,0
Parx Racing,2025-05-28,8,3,Golden Ice,0,,,-999.0,7,,,,0,,,,,,,,114.0,,0,0
Parx Racing,2025-05-28,8,4,Tavern Time,0,,,-999.0,7,,,,0,,,,,,,,119.0,,0,0
Parx Racing,2025-05-28,8,5,Wax Box,0,,,-999.0,7,,,,0,,,,,,,,119.0,,0,0
Parx Racing,2025-05-28,8,6,Regalpains,0,,,-999.0,7,,,,0,,,,,,,,119.0,,0,0
Parx Racing,2025-05-28,8,7,Fire Pit,0,,,-999.0,7,,,,0,,,,,,,,119.0,,0,0
Parx Racing,2025-05-28,9,1,Grahmalamadingdong,0,,,-999.0,8,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,9,2,Whiskeyromeosierra,0,,,-999.0,8,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,9,3,All American Rod,0,,,-999.0,8,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,9,4,Adeleke,0,,,-999.0,8,,,,0,,,,,,,,115.0,,0,0
Parx Racing,2025-05-28,9,5,Roan Burgundy,0,,,-999.0,8,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,9,6,Factor U and Me In,0,,,-999.0,8,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,9,7,Liberty Star,0,,,-999.0,8,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,9,8,Confiscated,0,,,-999.0,8,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,10,1,Bargaining Power,0,,,-999.0,10,,,,0,,,,,,,,117.0,,0,0
Parx Racing,2025-05-28,10,2,Pylon,0,,,-999.0,10,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,10,3,My Devils Child,0,,,-999.0,10,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,10,4,Brindisi,0,,,-999.0,10,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,10,5,Sugar Gray Leonard,0,,,-999.0,10,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,10,6,Cousin Andrew,0,,,-999.0,10,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,10,7,Nifty,0,,,-999.0,10,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,10,8,Turnsandconditions,0,,,-999.0,10,,,,0,,,,,,,,117.0,,0,0
Parx Racing,2025-05-28,10,9,Crypt,0,,,-999.0,10,,,,0,,,,,,,,122.0,,0,0
Parx Racing,2025-05-28,10,10,Captain Chazz,0,,,-999.0,10,,,,0,,,,,,,,122.0,,0,0
