track,date,race,program,horse,win,ml_dec,live_dec,minutes_to_post,field_size,surface,prev_surface,distance_yards,rail,speed,ep,lp,class,trainer_win,jockey_win,combo_win,weight,last_days,equip_blinker,equip_lasix
Del Mar,2025-08-21,1,1,Into the Hall,0,,,-999.0,6,,,,0,,,,,,,,121.0,,0,0
Del Mar,2025-08-21,1,2,Margarita Girl,0,,,-999.0,6,,,,0,,,,,,,,121.0,,0,0
Del Mar,2025-08-21,1,3,Curtsy,0,,,-999.0,6,,,,0,,,,,,,,121.0,,0,0
Del Mar,2025-08-21,1,4,Naples Gal,0,,,-999.0,6,,,,0,,,,,,,,121.0,,0,0
Del Mar,2025-08-21,1,5,Philippa,0,,,-999.0,6,,,,0,,,,,,,,124.0,,0,0
Del Mar,2025-08-21,1,6,Neko,0,,,-999.0,6,,,,0,,,,,,,,121.0,,0,0
Del Mar,2025-08-21,2,1,Dirty Words,0,,,-999.0,7,,,,0,,,,,,,,120.0,,0,0
Del Mar,2025-08-21,2,2,Lean Music Machine,0,,,-999.0,7,,,,0,,,,,,,,124.0,,0,0
Del Mar,2025-08-21,2,3,Mutt Dillin,0,,,-999.0,7,,,,0,,,,,,,,120.0,,0,0
Del Mar,2025-08-21,2,4,Video Review,0,,,-999.0,7,,,,0,,,,,,,,120.0,,0,0
Del Mar,2025-08-21,2,5,B Grayson,0,,,-999.0,7,,,,0,,,,,,,,120.0,,0,0
Del Mar,2025-08-21,2,6,Vino Amante,0,,,-999.0,7,,,,0,,,,,,,,120.0,,0,0
Del Mar,2025-08-21,2,7,Smiling Tizzy,0,,,-999.0,7,,,,0,,,,,,,,120.0,,0,0
Del Mar,2025-08-21,3,1,Liquid Spirit,0,,,-999.0,8,,,,0,,,,,,,,120.0,,0,0
Del Mar,2025-08-21,3,2,Thirsty Trickster,0,,,-999.0,8,,,,0,,,,,,,,120.0,,0,0
Del Mar,2025-08-21,3,3,Perfect Life,0,,,-999.0,8,,,,0,,,,,,,,120.0,,0,0
Del Mar,2025-08-21,3,4,Princess Daddy,0,,,-999.0,8,,,,0,,,,,,,,115.0,,0,0
Del Mar,2025-08-21,3,5,Moochie Girl,0,,,-999.0,8,,,,0,,,,,,,,120.0,,0,0
Del Mar,2025-08-21,3,6,Thirsty Destiny,0,,,-999.0,8,,,,0,,,,,,,,120.0,,0,0
Del Mar,2025-08-21,3,7,Exington,0,,,-999.0,8,,,,0,,,,,,,,120.0,,0,0
Del Mar,2025-08-21,3,8,Cioppina Pasadina,0,,,-999.0,8,,,,0,,,,,,,,120.0,,0,0
Del Mar,2025-08-21,4,1,Final Table Lady,0,,,-999.0,10,,,,0,,,,,,,,122.0,,0,0
Del Mar,2025-08-21,4,2,Cara Rose,0,,,-999.0,10,,,,0,,,,,,,,122.0,,0,0
Del Mar,2025-08-21,4,3,Adia,0,,,-999.0,10,,,,0,,,,,,,,122.0,,0,0
Del Mar,2025-08-21,4,4,Avocado Lake,0,,,-999.0,10,,,,0,,,,,,,,122.0,,0,0
Del Mar,2025-08-21,4,5,Big Coin,0,,,-999.0,10,,,,0,,,,,,,,122.0,,0,0
Del Mar,2025-08-21,4,6,Training Good,0,,,-999.0,10,,,,0,,,,,,,,122.0,,0,0
Del Mar,2025-08-21,4,7,Cash in Toknight,0,,,-999.0,10,,,,0,,,,,,,,122.0,,0,0
Del Mar,2025-08-21,4,8,Magic Club,0,,,-999.0,10,,,,0,,,,,,,,122.0,,0,0
Del Mar,2025-08-21,4,9,Lady K Westfall,0,,,-999.0,10,,,,0,,,,,,,,122.0,,0,0
Del Mar,2025-08-21,4,10,Violets Song,0,,,-999.0,10,,,,0,,,,,,,,122.0,,0,0
Del Mar,2025-08-21,5,1,Issa Court,0,,,-999.0,6,,,,0,,,,,,,,125.0,,0,0
Del Mar,2025-08-21,5,2,Lady Mendelssohn,0,,,-999.0,6,,,,0,,,,,,,,119.0,,0,0
Del Mar,2025-08-21,5,3,Jessebear,0,,,-999.0,6,,,,0,,,,,,,,125.0,,0,0
Del Mar,2025-08-21,5,4,Broadway Venus,0,,,-999.0,6,,,,0,,,,,,,,119.0,,0,0
Del Mar,2025-08-21,5,5,I Had That One Too,0,,,-999.0,6,,,,0,,,,,,,,125.0,,0,0
Del Mar,2025-08-21,5,6,Miso Phansy,0,,,-999.0,6,,,,0,,,,,,,,119.0,,0,0
Del Mar,2025-08-21,6,1,Quick Omen,0,,,-999.0,12,,,,0,,,,,,,,122.0,,0,0
Del Mar,2025-08-21,6,2,Petit Filet,0,,,-999.0,12,,,,0,,,,,,,,122.0,,0,0
Del Mar,2025-08-21,6,3,Freya,0,,,-999.0,12,,,,0,,,,,,,,119.0,,0,0
Del Mar,2025-08-21,6,4,Darlin Tami,0,,,-999.0,12,,,,0,,,,,,,,119.0,,0,0
Del Mar,2025-08-21,6,5,No Cap,0,,,-999.0,12,,,,0,,,,,,,,124.0,,0,0
Del Mar,2025-08-21,6,6,Goodnight Nellie,0,,,-999.0,12,,,,0,,,,,,,,122.0,,0,0
Del Mar,2025-08-21,6,7,Press Your Luck,0,,,-999.0,12,,,,0,,,,,,,,119.0,,0,0
Del Mar,2025-08-21,6,8,Mirinda,0,,,-999.0,12,,,,0,,,,,,,,124.0,,0,0
Del Mar,2025-08-21,6,9,Magical Miss,0,,,-999.0,12,,,,0,,,,,,,,119.0,,0,0
Del Mar,2025-08-21,6,10,Coralgableskaylin,0,,,-999.0,12,,,,0,,,,,,,,119.0,,0,0
Del Mar,2025-08-21,6,11,Fancy Facts,0,,,-999.0,12,,,,0,,,,,,,,119.0,,0,0
Del Mar,2025-08-21,6,12,Only Reputation,0,,,-999.0,12,,,,0,,,,,,,,122.0,,0,0
Del Mar,2025-08-21,7,1,Havoc,0,,,-999.0,8,,,,0,,,,,,,,125.0,,0,0
Del Mar,2025-08-21,7,2,Sea Dog,0,,,-999.0,8,,,,0,,,,,,,,125.0,,0,0
Del Mar,2025-08-21,7,3,Bobby's Alibi,0,,,-999.0,8,,,,0,,,,,,,,125.0,,0,0
Del Mar,2025-08-21,7,4,American Empire,0,,,-999.0,8,,,,0,,,,,,,,120.0,,0,0
Del Mar,2025-08-21,7,5,Bel Ragazzo,0,,,-999.0,8,,,,0,,,,,,,,120.0,,0,0
Del Mar,2025-08-21,7,6,Sugar Beets,0,,,-999.0,8,,,,0,,,,,,,,125.0,,0,0
Del Mar,2025-08-21,7,7,Impossible Task,0,,,-999.0,8,,,,0,,,,,,,,125.0,,0,0
Del Mar,2025-08-21,7,8,Chief Jackson,0,,,-999.0,8,,,,0,,,,,,,,125.0,,0,0
Del Mar,2025-08-21,8,1,Law Abiding,0,,,-999.0,8,,,,0,,,,,,,,125.0,,0,0
Del Mar,2025-08-21,8,2,McClusky,0,,,-999.0,8,,,,0,,,,,,,,125.0,,0,0
Del Mar,2025-08-21,8,3,Druidic,0,,,-999.0,8,,,,0,,,,,,,,125.0,,0,0
Del Mar,2025-08-21,8,4,Mongolian Apple,0,,,-999.0,8,,,,0,,,,,,,,125.0,,0,0
Del Mar,2025-08-21,8,5,Sunset Storm,0,,,-999.0,8,,,,0,,,,,,,,120.0,,0,0
Del Mar,2025-08-21,8,6,Trusty Rusty,0,,,-999.0,8,,,,0,,,,,,,,125.0,,0,0
Del Mar,2025-08-21,8,7,Oobubbakakayo,0,,,-999.0,8,,,,0,,,,,,,,125.0,,0,0
Del Mar,2025-08-21,8,8,Uncharted,0,,,-999.0,8,,,,0,,,,,,,,125.0,,0,0
Woodbine,2025-08-21,1,1,Scat Humor,0,,,-999.0,10,,,,0,,,,,,,,124.0,,0,0
Woodbine,2025-08-21,1,2,Daisycrest,0,,,-999.0,10,,,,0,,,,,,,,122.0,,0,0
Woodbine,2025-08-21,1,3,Serious Lady,0,,,-999.0,10,,,,0,,,,,,,,120.0,,0,0
Woodbine,2025-08-21,1,4,Anela Kai,0,,,-999.0,10,,,,0,,,,,,,,120.0,,0,0
Woodbine,2025-08-21,1,5,Pat's Holiday,0,,,-999.0,10,,,,0,,,,,,,,115.0,,0,0
Woodbine,2025-08-21,1,6,Sunnyville,0,,,-999.0,10,,,,0,,,,,,,,120.0,,0,0
Woodbine,2025-08-21,1,7,Ami's Cry,0,,,-999.0,10,,,,0,,,,,,,,120.0,,0,0
Woodbine,2025-08-21,1,8,Brown Butter Sage,0,,,-999.0,10,,,,0,,,,,,,,113.0,,0,0
Woodbine,2025-08-21,1,9,Dancin Mary Marie,0,,,-999.0,10,,,,0,,,,,,,,120.0,,0,0
Woodbine,2025-08-21,1,10,Froginapond,0,,,-999.0,10,,,,0,,,,,,,,124.0,,0,0
Woodbine,2025-08-21,2,1,Tatoosonmysoul,0,,,-999.0,8,,,,0,,,,,,,,124.0,,0,0
Woodbine,2025-08-21,2,2,Grace On the Green,0,,,-999.0,8,,,,0,,,,,,,,122.0,,0,0
Woodbine,2025-08-21,2,3,Silent Tribute,0,,,-999.0,8,,,,0,,,,,,,,122.0,,0,0
Woodbine,2025-08-21,2,4,Victoria Elizabeth,0,,,-999.0,8,,,,0,,,,,,,,124.0,,0,0
Woodbine,2025-08-21,2,5,Forest Vixen,0,,,-999.0,8,,,,0,,,,,,,,124.0,,0,0
Woodbine,2025-08-21,2,6,Crumlin Beast,0,,,-999.0,8,,,,0,,,,,,,,124.0,,0,0
Woodbine,2025-08-21,2,7,Enchanted Forest,0,,,-999.0,8,,,,0,,,,,,,,121.0,,0,0
Woodbine,2025-08-21,2,8,No Whammie,0,,,-999.0,8,,,,0,,,,,,,,124.0,,0,0
Woodbine,2025-08-21,3,1,Baby Lala,0,,,-999.0,10,,,,0,,,,,,,,120.0,,0,0
Woodbine,2025-08-21,3,2,Hatrixie Moment,0,,,-999.0,10,,,,0,,,,,,,,122.0,,0,0
Woodbine,2025-08-21,3,3,Bling d'Money Home,0,,,-999.0,10,,,,0,,,,,,,,124.0,,0,0
Woodbine,2025-08-21,3,4,Arpistas Encore,0,,,-999.0,10,,,,0,,,,,,,,122.0,,0,0
Woodbine,2025-08-21,3,5,Black Dagger,0,,,-999.0,10,,,,0,,,,,,,,120.0,,0,0
Woodbine,2025-08-21,3,6,Danish Cookie,0,,,-999.0,10,,,,0,,,,,,,,113.0,,0,0
Woodbine,2025-08-21,3,7,D's Kandy,0,,,-999.0,10,,,,0,,,,,,,,124.0,,0,0
Woodbine,2025-08-21,3,8,Noble Bodan,0,,,-999.0,10,,,,0,,,,,,,,115.0,,0,0
Woodbine,2025-08-21,3,9,Vrana (IRE),0,,,-999.0,10,,,,0,,,,,,,,124.0,,0,0
Woodbine,2025-08-21,3,10,Butterfly Billie,0,,,-999.0,10,,,,0,,,,,,,,120.0,,0,0
Woodbine,2025-08-21,4,1,Orient Beach,0,,,-999.0,9,,,,0,,,,,,,,120.0,,0,0
Woodbine,2025-08-21,4,2,Resort Fee,0,,,-999.0,9,,,,0,,,,,,,,120.0,,0,0
Woodbine,2025-08-21,4,3,Ginger Zip,0,,,-999.0,9,,,,0,,,,,,,,115.0,,0,0
Woodbine,2025-08-21,4,4,D'aurum,0,,,-999.0,9,,,,0,,,,,,,,120.0,,0,0
Woodbine,2025-08-21,4,5,Sunlit,0,,,-999.0,9,,,,0,,,,,,,,120.0,,0,0
Woodbine,2025-08-21,4,6,R Canadian Apple,0,,,-999.0,9,,,,0,,,,,,,,120.0,,0,0
Woodbine,2025-08-21,4,7,Mew N Me,0,,,-999.0,9,,,,0,,,,,,,,120.0,,0,0
Woodbine,2025-08-21,4,8,Dazzling Cruiser,0,,,-999.0,9,,,,0,,,,,,,,124.0,,0,0
Woodbine,2025-08-21,4,9,Spirited,0,,,-999.0,9,,,,0,,,,,,,,119.0,,0,0
Woodbine,2025-08-21,5,1,Iron Pyrite,0,,,-999.0,8,,,,0,,,,,,,,125.0,,0,0
Woodbine,2025-08-21,5,2,Kid Gizmo,0,,,-999.0,8,,,,0,,,,,,,,125.0,,0,0
Woodbine,2025-08-21,5,3,Wicked Mercury,0,,,-999.0,8,,,,0,,,,,,,,121.0,,0,0
Woodbine,2025-08-21,5,4,Katherine's Gem,0,,,-999.0,8,,,,0,,,,,,,,121.0,,0,0
Woodbine,2025-08-21,5,5,Voice From Above,0,,,-999.0,8,,,,0,,,,,,,,121.0,,0,0
Woodbine,2025-08-21,5,6,Lady in Red,0,,,-999.0,8,,,,0,,,,,,,,116.0,,0,0
Woodbine,2025-08-21,5,7,Holiday With Amy,0,,,-999.0,8,,,,0,,,,,,,,121.0,,0,0
Woodbine,2025-08-21,5,8,Galley Head,0,,,-999.0,8,,,,0,,,,,,,,121.0,,0,0
Woodbine,2025-08-21,6,1,Liam's Awesome,0,,,-999.0,10,,,,0,,,,,,,,121.0,,0,0
Woodbine,2025-08-21,6,2,Secret Gizmo,0,,,-999.0,10,,,,0,,,,,,,,121.0,,0,0
Woodbine,2025-08-21,6,3,Zeena Swift,0,,,-999.0,10,,,,0,,,,,,,,116.0,,0,0
Woodbine,2025-08-21,6,4,Sarah's Dancer,0,,,-999.0,10,,,,0,,,,,,,,123.0,,0,0
Woodbine,2025-08-21,6,5,Seattle Signal,0,,,-999.0,10,,,,0,,,,,,,,123.0,,0,0
Woodbine,2025-08-21,6,6,Cinnamon Bits,0,,,-999.0,10,,,,0,,,,,,,,116.0,,0,0
Woodbine,2025-08-21,6,7,Magic Modie,0,,,-999.0,10,,,,0,,,,,,,,121.0,,0,0
Woodbine,2025-08-21,6,8,Ondine Lady,0,,,-999.0,10,,,,0,,,,,,,,123.0,,0,0
Woodbine,2025-08-21,6,9,Clarayouthebest,0,,,-999.0,10,,,,0,,,,,,,,123.0,,0,0
Woodbine,2025-08-21,6,10,Candid Candace,0,,,-999.0,10,,,,0,,,,,,,,123.0,,0,0
Woodbine,2025-08-21,7,1,Bravo Kate,0,,,-999.0,10,,,,0,,,,,,,,121.0,,0,0
Woodbine,2025-08-21,7,2,Magical Trick,0,,,-999.0,10,,,,0,,,,,,,,118.0,,0,0
Woodbine,2025-08-21,7,3,Worry Less,0,,,-999.0,10,,,,0,,,,,,,,123.0,,0,0
Woodbine,2025-08-21,7,4,Saratoga Empress (GB),0,,,-999.0,10,,,,0,,,,,,,,118.0,,0,0
Woodbine,2025-08-21,7,5,Foxy Diva,0,,,-999.0,10,,,,0,,,,,,,,121.0,,0,0
Woodbine,2025-08-21,7,6,Anita Margarita,0,,,-999.0,10,,,,0,,,,,,,,121.0,,0,0
Woodbine,2025-08-21,7,7,Looks Lucky to Me,0,,,-999.0,10,,,,0,,,,,,,,116.0,,0,0
Woodbine,2025-08-21,7,8,Gather,0,,,-999.0,10,,,,0,,,,,,,,116.0,,0,0
Woodbine,2025-08-21,7,9,Miss Pierre,0,,,-999.0,10,,,,0,,,,,,,,120.0,,0,0
Woodbine,2025-08-21,7,10,I'm Tenacious,0,,,-999.0,10,,,,0,,,,,,,,121.0,,0,0
